序号	时间标识	源通道	帧ID	帧类型	帧格式	CAN类型	方向	长度	数据
119	2023-03-23 19:26:25.459	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 00 01 
120	2023-03-23 19:26:25.459	Ch0	0x25D	标准帧	数据帧	CANFD加速	Rx	8	80 F0 FF F1 FF F1 10 9F 
121	2023-03-23 19:26:25.470	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 10 F1 
122	2023-03-23 19:26:25.470	Ch0	0x1C2	标准帧	数据帧	CANFD加速	Rx	8	57 3A F1 80 C0 FF CF 6F 
123	2023-03-23 19:26:25.470	Ch0	0x1EF	标准帧	数据帧	CANFD加速	Rx	16	00 00 00 00 00 00 00 00 FF FF FF FF FF FF FF 06 
124	2023-03-23 19:26:25.470	Ch0	0x404	标准帧	数据帧	CANFD加速	Rx	8	01 66 05 5C 18 18 D0 4D 
125	2023-03-23 19:26:25.481	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 20 E1 
126	2023-03-23 19:26:25.481	Ch0	0x25D	标准帧	数据帧	CANFD加速	Rx	8	80 F0 FF F1 FF F1 20 8F 
127	2023-03-23 19:26:25.486	Ch0	0x275	标准帧	数据帧	CANFD加速	Rx	8	19 10 01 19 00 00 3F 7D 
128	2023-03-23 19:26:25.486	Ch0	0x287	标准帧	数据帧	CANFD加速	Rx	8	00 10 01 59 04 44 3F 0E 
129	2023-03-23 19:26:25.490	Ch0	0x42E	标准帧	数据帧	CANFD加速	Rx	8	00 00 40 00 88 08 50 FC 
130	2023-03-23 19:26:25.490	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 30 D1 
131	2023-03-23 19:26:25.490	Ch0	0x1EF	标准帧	数据帧	CANFD加速	Rx	16	00 00 00 00 00 00 00 00 FF FF FF FF FF FF 0F F6 
132	2023-03-23 19:26:25.490	Ch0	0x42E	标准帧	数据帧	CANFD加速	Rx	8	00 00 40 00 88 0B 50 FC 
133	2023-03-23 19:26:25.490	Ch0	0x294	标准帧	数据帧	CANFD加速	Rx	8	55 00 56 08 2C 4F 0C C5 
134	2023-03-23 19:26:25.492	Ch0	0x12D	标准帧	数据帧	CANFD加速	Rx	8	A0 28 02 00 0C F0 FF 3A 
135	2023-03-23 19:26:25.492	Ch0	0x2EF	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 00 00 
136	2023-03-23 19:26:25.492	Ch0	0x2DD	标准帧	数据帧	CANFD加速	Rx	8	FF 00 00 50 00 00 00 00 
137	2023-03-23 19:26:25.497	Ch0	0x27B	标准帧	数据帧	CANFD加速	Rx	8	18 20 00 00 00 00 00 C7 
138	2023-03-23 19:26:25.497	Ch0	0x296	标准帧	数据帧	CANFD加速	Rx	8	40 04 00 00 00 00 3F 7C 
139	2023-03-23 19:26:25.497	Ch0	0x2A6	标准帧	数据帧	CANFD加速	Rx	8	C0 01 64 00 00 00 30 AA 
140	2023-03-23 19:26:25.497	Ch0	0x235	标准帧	数据帧	CANFD加速	Rx	8	00 80 00 16 00 F6 31 42 
141	2023-03-23 19:26:25.497	Ch0	0x23A	标准帧	数据帧	CANFD加速	Rx	8	FF FF 80 00 FF 8F 30 C3 
142	2023-03-23 19:26:25.497	Ch0	0x2EC	标准帧	数据帧	CANFD加速	Rx	8	A0 02 00 00 00 00 00 00 
143	2023-03-23 19:26:25.497	Ch0	0x2B0	标准帧	数据帧	CANFD加速	Rx	8	19 00 00 00 00 00 FF E7 
144	2023-03-23 19:26:25.500	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 40 C1 
145	2023-03-23 19:26:25.500	Ch0	0x43E	标准帧	数据帧	CANFD加速	Rx	8	8C FF FF FF FF 00 04 20 
146	2023-03-23 19:26:25.500	Ch0	0x3BD	标准帧	数据帧	CANFD加速	Rx	64	FF FF FF FF 0F 00 05 14 14 00 FC DF D9 01 F0 FF FF F3 FF FF 31 03 F8 FF 0F C0 29 FF 03 10 42 08 21 E0 30 34 36 35 33 30 FE FF FE FF 14 FF 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 
147	2023-03-23 19:26:25.503	Ch0	0x25D	标准帧	数据帧	CANFD加速	Rx	8	80 F0 FF F1 FF F1 30 7F 
148	2023-03-23 19:26:25.508	Ch0	0x261	标准帧	数据帧	CANFD加速	Rx	8	51 0D 7C 30 02 1E 40 95 
149	2023-03-23 19:26:25.508	Ch0	0x28F	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 4F B0 
